respondent_id,segment_code,audience,gender,age,prefecture_code,geography,marital_status,living_alone,living_with_spouse,living_with_significant_other,living_with_children,living_with_parents,living_with_siblings,living_with_friend,living_with_other,has_children_separate,boys_under_17_in_hh,boys_in_hh,girls_under_17_in_hh,girls_in_hh,has_grandchildren,recent_visit_tdl,been_to_tdl_past_3yr,recent_visit_tds,been_to_tds_past_3yr,recent_visit_usj,visit_count_tdl,visit_count_tds,visit_count_usj,decision_maker,non_park_rejector,aided_awareness_tdl,aided_awareness_tds,aided_awareness_usj,familiarity_tdl,familiarity_tds,familiarity_usj,opinion_tdl,opinion_tds,opinion_usj,consideration_tdl,consideration_tds,consideration_usj,likelihood_visit_tdl,likelihood_visit_tds,likelihood_visit_usj,when_visit_tdl,intent_visit_tdl_code,intent_visit_tdl,when_visit_tds,intent_visit_tds_code,intent_visit_tds_or_tdl,intent_visit_tds,nps_tdl,nps_tds,nps_usj,funderful_disney_member,disney_plus_subscriber,disney_card_club_member,disney_store_card_member,disney_vacation_club_member,no_disney_fandom,disney_fandom,annual_personal_income,annual_household_income,tdl_func_relaxing,tdl_func_enjoy_myself,tdl_func_lifelong_memories,tdl_func_bond_family_friends,tdl_func_great_for_kids_under_6,tdl_func_great_for_kids_7_17,tdl_func_great_for_adults,tdl_func_want_children_experience,tdl_func_expand_child_worldview,tdl_func_great_for_all_family,tdl_func_understands_what_i_like,tdl_func_feel_comfortable,tdl_func_keeping_up_with_times,tdl_func_variety_of_things,tdl_func_unique_experiences,tdl_func_repeat_experience,tdl_func_active_adventurous,tdl_func_thrilling,tdl_func_new_innovative,tdl_func_something_new,tdl_func_not_crowded,tdl_func_character_interaction,tdl_func_worth_short_vacation,tdl_func_worth_price,tdl_func_affordable,tdl_func_ticket_options,tdl_emot_land_of_dreams,tdl_emot_removed_from_reality,tdl_emot_fantastical,tdl_emot_heartwarming,tdl_emot_soothing_healing,tdl_emot_feeling_safe,tdl_emot_longing_aspiring,tdl_emot_sparkling,tdl_emot_premium_feeling,tdl_emot_feel_good,bipolar_fun,bipolar_feeling_special,bipolar_anticipation,bipolar_excitement,bipolar_playful_mind,bipolar_relaxed_content,bipolar_only_one,bipolar_oshi,bipolar_return_childhood,bipolar_trending,bipolar_realism,bipolar_innovative,bipolar_unpredictability,bipolar_refreshing_look,bipolar_edgy,bipolar_feel_refreshed,bipolar_heart_throbbing,bipolar_be_merry,bipolar_suspenseful
96,2,B. Older Families,2,47,14,Local,2,0,1,0,1,0,0,0,0,1,0,No,1,Yes,0,8,No,5,Yes,9,0,1,0,3,4,1,1,1,4,4,1,5,5,3,4,4,2,4,4,3,8,8,No,8,8,8,No,11,11,6,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,5,2,2,4,3,3,6,5,6,5,6,6,6,5,7
97,2,B. Older Families,2,48,14,Local,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,0,8,No,8,No,8,0,0,0,2,10,1,1,1,5,5,4,5,5,5,5,5,4,5,5,5,8,8,No,8,8,8,No,10,10,10,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,4,4,5,3,3,5,4,5,4,5,5,5,5,5,5,5,5
98,2,B. Older Families,2,52,13,Local,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,0,8,No,8,No,4,0,0,1,1,7,1,1,1,3,3,3,4,4,4,4,4,4,3,3,3,7,7,No,7,7,7,No,7,7,7,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
99,2,B. Older Families,1,40,15,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,2,5,Yes,5,Yes,9,2,2,0,2,9,1,1,1,4,4,4,4,4,4,4,4,4,4,4,5,6,1,Yes,6,1,1,Yes,9,9,10,0,0,0,0,0,1,No,2,3,5,4,5,4,4,5,4,4,4,4,4,4,4,5,4,4,4,4,4,5,3,4,4,5,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4
100,2,B. Older Families,1,50,23,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,4,Yes,4,Yes,6,2,2,1,2,7,1,1,1,4,4,4,4,4,4,4,4,4,4,4,3,7,7,No,7,7,7,No,9,9,8,0,0,0,0,0,1,No,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,5,6,4,2,1,2,4,5,6,4,6,7,5,7,7,6
101,2,B. Older Families,1,68,16,Domestic,2,0,1,0,1,0,0,0,0,1,1,Yes,0,No,0,4,Yes,8,No,8,1,0,0,2,6,1,1,1,3,3,3,3,3,4,3,3,4,3,3,4,7,7,No,7,7,7,No,5,5,7,0,0,0,0,0,1,No,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,5,4,4,4,4,5,4,4,4,5,4,4,4,5,5,4
102,2,B. Older Families,1,47,23,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,2,8,No,8,No,8,0,0,0,2,7,1,1,1,3,3,4,4,4,4,4,4,4,3,3,4,8,8,No,8,8,8,No,8,8,9,0,0,0,0,0,1,No,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,5,4,3,3,3,3,4,5,5,5,5,5,5,5,4,5
103,2,B. Older Families,2,50,17,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,2,8,No,8,No,8,0,0,0,3,7,1,1,1,2,2,4,4,4,4,4,4,4,4,4,4,7,7,No,7,7,7,No,9,9,9,0,0,0,0,0,1,No,2,2,2,4,4,4,4,4,4,4,4,4,2,3,4,4,4,4,4,3,4,3,2,4,2,4,2,4,4,4,4,4,4,2,4,4,4,4,4,3,4,4,2,4,4,2,4,4,4,4,4,4,6,6,7,4,6
104,2,B. Older Families,2,50,20,Domestic,2,0,1,0,1,0,0,0,0,2,0,No,1,Yes,0,5,Yes,9,No,9,1,0,0,2,10,1,1,1,4,4,2,5,5,99,5,5,3,5,5,3,8,8,No,8,8,8,No,11,11,6,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,7,6,2,2,4,1,4,6,7,7,4,7,6,4,4,7
105,2,B. Older Families,2,43,23,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,4,Yes,8,No,6,1,0,1,2,9,1,1,1,3,3,3,4,3,4,4,4,4,3,4,3,8,8,No,8,8,8,No,6,5,6,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,5,4,4,4,1,4,5,5,4,5,7,6,6,4,6
106,2,B. Older Families,2,44,15,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,5,Yes,8,No,9,1,0,0,2,10,1,1,1,5,5,4,5,5,5,5,5,4,5,5,5,7,7,No,7,7,7,No,11,11,10,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,4,2,4,6,4,5,5,4,5,4,5,5,5,4,4
107,2,B. Older Families,1,46,27,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,2,8,No,8,No,5,0,0,1,2,10,1,1,1,2,2,4,4,4,5,2,2,4,4,4,5,8,8,No,8,8,8,No,11,11,11,0,0,0,0,0,1,No,2,3,3,4,4,3,3,4,4,4,4,5,3,3,3,4,4,3,4,3,3,3,1,5,3,4,1,4,4,4,4,4,3,4,4,4,4,4,4,4,7,6,4,4,4,4,1,4,4,4,6,4,4,4,6,6,5
108,2,B. Older Families,1,37,27,Domestic,2,0,1,0,1,0,0,0,0,2,0,No,1,Yes,0,9,No,9,No,5,0,0,1,1,7,1,1,1,2,2,4,3,3,4,4,4,4,4,4,4,8,8,No,8,8,8,No,6,6,7,0,0,0,0,0,1,No,2,6,1,4,4,4,3,5,4,4,4,4,3,3,4,4,4,4,4,2,4,4,1,4,4,3,1,3,4,5,4,3,4,3,5,4,4,5,4,2,4,2,4,4,2,6,2,2,6,4,2,2,4,4,3,4,4
109,2,B. Older Families,1,44,30,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,4,Yes,9,No,6,1,0,1,2,10,1,1,1,4,4,3,5,5,3,5,5,3,4,5,4,8,8,No,8,8,8,No,10,10,4,0,0,0,0,0,1,No,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,3,2,3,4,3,3,3,3,2,3,3,3,3,3,3
110,2,B. Older Families,1,51,27,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,2,8,No,8,No,8,0,0,0,3,6,1,1,1,2,2,4,5,5,5,3,3,4,5,5,5,8,8,No,8,8,8,No,11,10,9,0,0,0,0,0,1,No,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,4,2,2,1,2,2,2,5,5,5,2,5,3,5,4,6
111,2,B. Older Families,1,42,26,Domestic,2,0,1,0,1,1,0,0,0,2,1,Yes,1,Yes,0,3,Yes,3,Yes,1,3,3,5,2,10,1,1,1,4,4,4,4,4,5,5,5,5,5,5,5,2,1,Yes,2,1,1,Yes,9,9,10,0,0,0,0,0,1,No,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,6,6,6,2,4,5,5,5,5,6,6,5,5,5,6,5
112,2,B. Older Families,2,47,28,Domestic,2,0,1,0,1,0,0,0,0,1,1,Yes,0,No,0,7,No,9,No,8,0,0,0,1,7,1,1,1,5,5,5,5,5,5,4,4,5,4,4,5,7,7,No,7,7,7,No,9,9,9,0,0,0,0,0,1,No,2,1,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5
113,2,B. Older Families,2,46,28,Domestic,2,0,1,0,1,0,0,0,0,2,0,No,1,Yes,0,9,No,9,No,3,0,0,1,3,9,1,1,1,2,2,2,5,5,5,2,2,2,4,4,4,8,8,No,8,8,8,No,11,11,10,0,0,0,0,0,1,No,2,2,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,3,5,5,5,5,5,5,5,5,5,5,4,1,1,1,4,4,1,7,1,1,1,4,4,4,7,4,1,4,1
114,2,B. Older Families,2,47,28,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,2,8,No,8,No,5,0,0,6,2,7,1,1,1,4,4,4,4,4,4,4,3,3,4,4,3,7,7,No,7,7,7,No,8,8,8,0,0,0,0,0,1,No,2,1,3,5,3,5,4,5,4,4,4,5,4,4,4,3,4,4,4,4,4,4,2,5,4,3,4,3,5,5,4,4,4,4,4,5,3,4,4,3,2,3,5,4,4,4,2,4,4,4,5,4,4,3,3,4,4
115,2,B. Older Families,2,42,27,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,8,No,8,No,8,0,0,0,2,9,1,1,1,2,2,2,4,4,4,4,4,4,4,4,4,8,8,No,8,8,8,No,6,6,6,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,4,4,4,4,4,6,2,6,6,4,4,4,6,4,4,6,4
116,2,B. Older Families,2,43,29,Domestic,2,0,1,0,1,0,0,0,0,1,1,Yes,1,Yes,0,4,Yes,8,No,8,1,0,0,3,5,1,1,1,3,3,4,3,3,3,2,2,3,3,3,3,8,8,No,8,8,8,No,3,3,6,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,5,7,4,6,4,4,4,5,4,4,4,4,4,4,4,4
117,2,B. Older Families,2,47,28,Domestic,2,0,1,0,1,0,0,0,0,2,0,No,1,Yes,0,4,Yes,4,Yes,5,2,1,1,3,9,1,1,1,3,3,4,4,4,4,4,4,4,4,4,4,8,8,No,8,8,8,No,9,9,9,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4,4,4,4,3,4,4,3,4,4,5,5,4,4,5
118,2,B. Older Families,2,43,29,Domestic,2,0,1,1,1,1,0,0,0,2,1,Yes,0,No,0,8,No,8,No,8,0,0,0,2,8,1,1,1,3,3,4,4,4,5,4,4,4,3,3,3,8,8,No,8,8,8,No,10,10,11,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
119,2,B. Older Families,2,39,27,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,8,No,8,No,6,0,0,5,3,7,1,1,1,3,3,4,4,4,4,3,3,4,4,4,3,8,8,No,8,8,8,No,8,8,8,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7,5,5,3,7,5,6,2,6,5,7,5,5,5,4,5,7
120,2,B. Older Families,1,48,1,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,8,No,8,No,8,0,0,0,1,9,1,1,1,4,4,3,4,4,3,5,5,4,5,5,3,7,7,No,7,7,7,No,9,9,7,0,0,0,0,0,1,No,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,3,5
121,2,B. Older Families,1,55,5,Domestic,2,0,1,0,1,0,0,0,0,1,0,No,1,Yes,2,9,No,9,No,8,0,0,0,3,6,1,1,1,3,3,4,3,3,4,3,3,4,3,3,4,8,8,No,8,8,8,No,6,6,8,0,1,0,0,0,0,Yes,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,4,4,4
122,2,B. Older Families,2,39,6,Domestic,2,0,1,1,1,0,0,0,0,2,0,No,1,Yes,0,1,Yes,1,Yes,9,6,6,0,1,10,1,1,1,5,5,4,5,5,5,5,5,5,4,4,4,7,7,No,7,7,7,No,11,11,11,0,1,0,0,0,0,Yes,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,2,4,4,4,4,4,5,5,5,5,4,5,4,5,4,5,3,4,4,5,5,2,4,3,2,3,5,5,5,5,5,4,5,5,5
123,2,B. Older Families,2,38,4,Domestic,2,0,1,0,1,0,0,0,0,2,0,No,1,Yes,0,8,No,9,No,9,0,0,0,2,10,1,1,1,5,4,3,5,5,5,5,5,5,4,5,5,8,8,No,8,8,8,No,9,9,9,0,0,0,0,0,1,No,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,3,4,2,4,4,4,4,4,4,4,4,4,2,1,4
124,2,B. Older Families,2,37,1,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,0,8,No,8,No,5,0,0,1,3,9,1,1,1,3,3,3,4,4,5,3,3,4,4,4,5,8,8,No,8,8,8,No,9,9,10,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,6,6,6,6,6,6,6,6,6,6,6,5,4,6,6,6,6
125,2,B. Older Families,2,38,4,Domestic,3,0,0,0,1,0,0,0,0,2,0,No,1,Yes,2,8,No,9,No,9,0,0,0,3,10,1,1,1,2,2,4,3,3,4,3,3,4,4,4,4,7,7,No,7,7,7,No,11,11,11,0,0,0,0,0,1,No,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,6,5,4,1,7,4,4,4,7,4,7,7,7,4,5,5
126,2,B. Older Families,1,47,43,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,0,7,No,7,No,8,0,0,0,3,9,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,7,7,No,7,7,7,No,10,10,10,0,0,0,0,0,1,No,2,5,3,5,5,4,5,5,5,5,4,5,4,4,4,4,5,5,4,3,3,4,1,5,2,3,1,3,5,5,5,5,5,5,3,5,5,5,4,4,4,4,4,4,4,4,3,5,5,6,5,5,5,4,4,4,4
127,2,B. Older Families,1,45,38,Domestic,2,0,1,0,1,0,0,0,0,1,1,Yes,0,No,2,8,No,9,No,9,0,0,0,3,6,1,1,1,4,4,4,4,99,99,3,3,3,4,4,4,7,7,No,7,7,7,No,6,6,6,0,0,0,0,0,1,No,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,2,3,4,3,4,3,4,6,6,5,4,4,4,6,6,5
128,2,B. Older Families,1,43,35,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,1,Yes,0,8,No,8,No,4,0,0,6,2,8,1,1,1,4,4,5,4,4,4,4,4,4,4,4,5,8,8,No,8,8,8,No,7,7,9,0,0,0,0,0,1,No,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,5,4,4,4,4,4,3,4,5,4,4,5,4,4,5,4
129,2,B. Older Families,1,60,40,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,0,8,No,9,No,9,0,0,0,2,5,1,1,1,3,3,3,3,3,3,3,2,2,3,2,2,7,7,No,7,7,7,No,6,4,4,0,0,0,0,0,1,No,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
130,2,B. Older Families,2,45,34,Domestic,2,0,0,0,1,0,0,0,0,1,1,Yes,1,Yes,2,8,No,9,No,8,0,0,0,2,6,1,1,1,4,4,4,4,4,4,4,4,4,4,4,2,7,7,No,7,7,7,No,6,6,6,0,0,0,0,0,1,No,2,1,2,4,5,5,2,5,5,5,5,5,4,4,4,4,4,3,4,4,4,4,1,4,4,3,1,1,5,5,4,4,4,5,4,4,4,4,4,2,4,4,4,4,4,6,4,4,4,7,4,4,5,4,4,4,4
131,2,B. Older Families,2,52,40,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,2,8,No,8,No,5,0,0,2,3,7,1,1,1,4,4,4,4,4,4,3,3,4,2,2,3,8,8,No,8,8,8,No,6,6,8,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,5,5,5,4,5,3,4,5,5,5,5,5,5,6,6,5
132,2,B. Older Families,2,49,47,Domestic,2,0,1,0,1,0,0,0,0,2,1,Yes,0,No,0,8,No,8,No,9,0,0,0,3,10,1,1,1,4,4,1,5,5,99,5,5,2,1,1,1,7,7,No,7,7,7,No,6,6,6,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,4,3,1,4,4,4,2,4,4,1,4,4,3,5,4
133,3,C. Adults 18-34 (no kids in HH),1,22,14,Local,1,0,0,0,0,1,0,0,0,2,0,No,0,No,0,7,No,7,No,9,0,0,0,2,10,1,1,0,5,5,0,5,5,0,5,4,0,4,4,0,2,1,Yes,2,1,1,Yes,3,3,0,0,0,1,0,0,0,Yes,2,99,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,5,4,4,5,4,4,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,3,C. Adults 18-34 (no kids in HH),1,29,13,Local,1,1,0,0,0,0,0,0,0,2,0,No,0,No,0,3,Yes,1,Yes,3,3,3,3,1,10,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,6,1,Yes,6,1,1,Yes,11,11,11,0,1,0,0,0,0,Yes,2,5,5,5,4,4,5,4,5,3,5,3,5,5,5,5,5,5,5,5,5,4,3,4,5,5,4,4,5,5,4,4,4,4,5,4,5,5,3,4,2,4,5,4,3,4,4,4,4,5,5,4,4,4,4,5,4
135,3,C. Adults 18-34 (no kids in HH),1,26,8,Local,1,0,0,0,0,1,1,0,0,2,0,No,0,No,0,3,Yes,3,Yes,8,3,1,0,1,10,1,1,1,4,4,3,4,4,3,4,4,3,4,4,3,1,1,Yes,8,8,1,No,11,11,10,0,0,0,0,0,1,No,2,2,4,4,3,4,4,3,4,3,4,3,4,4,3,4,4,3,4,4,4,4,3,4,4,5,1,4,3,3,3,3,4,4,3,4,3,4,3,3,3,2,3,3,2,1,2,2,3,2,3,2,3,3,2,2,2
136,3,C. Adults 18-34 (no kids in HH),1,19,11,Local,1,0,0,0,0,1,0,0,0,2,0,No,0,No,0,5,Yes,5,Yes,1,5,5,1,2,5,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,8,8,No,8,8,8,No,9,9,9,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4
137,3,C. Adults 18-34 (no kids in HH),1,22,13,Local,1,1,0,0,0,0,0,0,0,2,0,No,0,No,0,7,No,7,No,5,0,0,4,1,7,1,1,1,4,4,5,5,5,5,5,5,5,3,3,5,8,8,No,8,8,8,No,11,11,11,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
138,3,C. Adults 18-34 (no kids in HH),1,23,14,Local,1,0,0,0,0,1,1,0,0,2,0,No,0,No,0,5,Yes,5,Yes,9,2,2,0,3,10,1,1,1,5,5,3,5,5,4,4,4,4,5,5,5,4,1,Yes,4,1,1,Yes,11,11,9,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,5,3,2,2,1,3,3,5,5,5,6,3,3,3,3
139,3,C. Adults 18-34 (no kids in HH),1,26,14,Local,1,0,0,0,0,1,1,0,0,2,0,No,0,No,0,8,No,8,No,1,0,0,1,2,8,1,1,1,4,4,4,5,5,5,4,4,4,5,5,5,8,8,No,8,8,8,No,11,11,11,0,0,0,0,0,1,No,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,4,5,4,4,4,1,4,5,5,4,4,5,5,4,5,5
140,3,C. Adults 18-34 (no kids in HH),1,31,13,Local,1,1,0,0,0,0,0,0,0,2,0,No,0,No,0,2,Yes,2,Yes,5,3,3,1,1,8,1,1,1,5,5,3,5,5,5,5,5,3,5,5,4,8,8,No,8,8,8,No,10,10,10,0,1,0,0,0,0,Yes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,4,5,2,5,2,4,5,5,3,4,4,4,2,2,3,4
141,3,C. Adults 18-34 (no kids in HH),1,26,14,Local,1,1,0,0,0,0,0,0,0,2,0,No,0,No,0,4,Yes,5,Yes,8,1,1,0,1,10,1,1,1,5,5,2,5,5,5,5,5,5,5,5,5,6,1,Yes,6,1,1,Yes,11,11,11,0,0,0,0,0,1,No,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7
142,3,C. Adults 18-34 (no kids in HH),1,22,13,Local,1,1,0,0,0,0,0,0,0,2,0,No,0,No,0,7,No,8,No,5,0,0,1,1,8,1,1,1,5,5,4,5,5,5,5,2,3,5,5,3,8,8,No,8,8,8,No,11,11,11,0,1,0,0,0,0,Yes,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,1,4,1,4,4,4,1,6,6,4,3,7,7,7,4
143,3,C. Adults 18-34 (no kids in HH),1,21,11,Local,1,0,0,0,0,1,1,0,0,2,0,No,0,No,0,8,No,9,No,9,0,0,0,2,6,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,7,7,No,7,7,7,No,6,6,6,0,0,0,0,0,1,No,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,4
144,3,C. Adults 18-34 (no kids in HH),2,18,13,Local,1,0,0,0,0,1,0,0,0,2,0,No,0,No,0,7,No,7,No,9,0,0,0,2,10,1,1,1,4,4,4,4,4,4,5,4,4,5,5,5,8,8,No,8,8,8,No,11,11,9,0,0,0,0,0,1,No,2,1,4,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,4,4,5,5,1,4,3,4,1,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,4,4,4,4,5,4,4,5,5,4,3,5,5
